title,time,location,description,image,latitude,longitude
Refugee Council of Australia Consultations - Wyndham Refugee Communities,"Mon, 02/10/2017 at 6:00 pm","106 Duncans Road, Werribee, VIC 3030",The Refugee Council of Australia wants to know what you think about current refugee policies and what governments and others can do better.,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F34045934%2F105527802701%2F1%2Foriginal.jpg?h=140&w=280&rect=0%2C32%2C388%2C194&s=eb9def95f7b3620282eb3cca68792141,-37.9055877,144.67033300000003
Refugee Council of Australia Consultations - Brimbank Services,"Tue, 05/09/2017 at 10:00 am","80b Harvester Road, Sunshine, VIC 3020",The Refugee Council of Australia wants to know what you think about current refugee policies and what governments and others can do better.,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F33553956%2F105527802701%2F1%2Foriginal.jpg?h=140&w=280&rect=0%2C32%2C388%2C194&s=3afee9022d05957462265fbe2609c8fe,-37.7814613,144.83246810000003
Refugee Council of Australia Consultations - Wyndham Services,"Mon, 02/10/2017 at 2:00 pm","106 Duncans Road, Werribee, VIC 3030",The Refugee Council of Australia wants to know what you think about current refugee policies and what governments and others can do better.,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F34045738%2F105527802701%2F1%2Foriginal.jpg?h=140&w=280&rect=0%2C32%2C388%2C194&s=e8ff02b8ee5edf577e35851480a7d719,-37.9055877,144.67033300000003
Footscray Info Session on Uni Scholarships for People Seeking Asylum and Refugees on Temporary Visas,"Thu, 07/09/2017 at 5:00 pm","214-218 Nicholson Street, Footscray, VIC 3011","As part of our Education for All Campaign the Refugee Council has been working with universities to provide scholarships to people seeking asylum. Unlike holders of permanent humanitarian visas, people seeking asylum and refugees on temporary protection visas are not eligible for programs and concessions designed to assist students with financing tertiary education. Without government support or university scholarships, these people are forced to pay expensive international student fees to attend TAFE, Universities and other institutions. 
A number of universities have now started providing scholarships to people seeking asylum and refugees on temporary visas. You can find more information regarding this on the Refugee Council website. If you want to find out more about applying for university scholarships, join us for an information session that will provide you with the basic steps you need to apply.",https://cdn.evbstatic.com/s3-build/perm_001/f8c5fa/django/images/discovery/default_logos/4.png,-37.803185,144.89829800000007
Dandenong Info Session on Uni Scholarships for People Seeking Asylum and Refugees on Temporary Visas,"Thu, 28/09/2017 at 10:00 am","237 Lonsdale St , Dandenong, VIC 3175","As part of our Education for All Campaign the Refugee Council has been working with universities to provide scholarships to people seeking asylum. Unlike holders of permanent humanitarian visas, people seeking asylum and refugees on temporary protection visas are not eligible for programs and concessions designed to assist students with financing tertiary education. Without government support or university scholarships, these people are forced to pay expensive international student fees to attend TAFE, Universities and other institutions. 
A number of universities have now started providing scholarships to people seeking asylum and refugees on temporary visas. You can find more information regarding this on the Refugee Council website. If you want to find out more about applying for university scholarships, join us for an information session that will provide you with the basic steps you need to apply.",https://cdn.evbstatic.com/s3-build/perm_001/bfc5ea/django/images/discovery/default_logos/5.png,-37.9879884,145.21380539999996
Epping Info Session on Uni Scholarships for People Seeking Asylum and Refugees on Temporary Visas,"Mon, 25/09/2017 at 2:00 pm","713 High St, Epping, VIC 3076","As part of our Education for All Campaign the Refugee Council has been working with universities to provide scholarships to people seeking asylum. Unlike holders of permanent humanitarian visas, people seeking asylum and refugees on temporary protection visas are not eligible for programs and concessions designed to assist students with financing tertiary education. Without government support or university scholarships, these people are forced to pay expensive international student fees to attend TAFE, Universities and other institutions. 
A number of universities have now started providing scholarships to people seeking asylum and refugees on temporary visas. You can find more information regarding this on the Refugee Council website. If you want to find out more about applying for university scholarships, join us for an information session that will provide you with the basic steps you need to apply.",https://cdn.evbstatic.com/s3-build/perm_001/d8a38f/django/images/discovery/default_logos/0.png,-37.65101,145.023957
Collingwood Info Session on Uni Scholarships for People Seeking Asylum and Refugees on Temporary Visas,"Mon, 11/09/2017 at 10:00 am","Level 6, 20 Otter St, Collingwood, 3066","As part of our Education for All Campaign the Refugee Council has been working with universities to provide scholarships to people seeking asylum. Unlike holders of permanent humanitarian visas, people seeking asylum and refugees on temporary protection visas are not eligible for programs and concessions designed to assist students with financing tertiary education. Without government support or university scholarships, these people are forced to pay expensive international student fees to attend TAFE, Universities and other institutions. 
A number of universities have now started providing scholarships to people seeking asylum and refugees on temporary visas. You can find more information regarding this on the Refugee Council website. If you want to find out more about applying for university scholarships, join us for an information session that will provide you with the basic steps you need to apply.",https://cdn.evbstatic.com/s3-build/perm_001/903d4f/django/images/discovery/default_logos/1.png,-37.8006227,144.9856211
Changing the Conversation on Refugees and getting it on the #RightTrack,"Sat, Sep 9, 2017 at 10:00 AM","Finkle Theatre  John Curtin School of Medical Research, ANU, Canberra, ACT 2601","ASRC Founder and CEO Kon Karapanagiotidis, warmly invites you to this four hour workshop to share the findings of our ground-breaking ‘Words That Work’ messaging research that was led by communications expert Anat Shenker-Osorio, and discuss how this has informed the development of a values based conversation framework. One that is proven to positively shift community attitudes on how we should treat people seeking asylum.
We will be generously hosted by the ANU College of Law Migration Law Program and the support of Welcome Legal.
In this workshop Kon will share the ASRC tools and strategies to have values based conversations with people of influence in your networks and discuss how we can create an alternative narrative using the power of conversation as a tool for social change.
If you believe the key to changing the policy direction of current and future Governments lies in our ability to reach out beyond the 'echo chamber' and bring new people into the conversation please join Kon at this important event.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F31495877%2F5436679209%2F1%2Foriginal.jpg?h=140&w=280&rect=116%2C0%2C908%2C454&s=6ca4ab4a2e91d86d13053d2b0d20a3b0,-35.2785933,149.12386249999997
Refugee Voice of Hope and Resilience—Isaiah Lahai,"Wed, 15/11/2017 at 7:00 pm","584 Glenferrie Rd, Hawthorn, VIC 3122","Please share an evening with former refugee and social justice advocate Isaiah Lahai. After fleeing war torn Sierra Leone, Isaiah spent 14 precarious years in multiple refugee camps in Africa.  He finally made it to the safety of Australia, where he is building a new life with his wife and five children. With courage and resilience, Isaiah draws on his experience to inform and encourage discussion and reflection. All ages welcome.
 Light refreshments will be served",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F33416782%2F49100826570%2F1%2Foriginal.jpg?h=140&w=280&rect=0%2C779%2C5472%2C2736&s=896277da4995d2601db312a8f8c967f5,-37.8222114,145.03280169999994
Rohingya: Refugees in Colour - Emerald - Tues 26/09,"Tue, 26/09/2017 at 6:15 pm","400B Belgrave-Gembrook Road, Emerald, Victoria 3782","Launched as part of the Human Rights Arts and Film Festival, Ali MC will be presenting on the plight of the Rohingya refugees and the topic of photography in a Human Rights context. Ali will have copies of his photobook available for purchase on the night. Ali's thought provoking photographic essays will be on exhibition in the Emerald Library during the month of September.
Emerald Library
Tuesday 19 September
6.15pm to 7.30pm",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F33854465%2F3018778558%2F1%2Foriginal.jpg?h=140&w=280&rect=0%2C13%2C1024%2C512&s=f5bd27e2882491438a20612a3eada581,-37.929508,145.445279
Forum on Promoting Gender Equity and Respect in Culturally and Linguistically Diverse Communities,"Tue, 19/09/2017 at 9:30 am","1022 Whitehorse Road, Box Hill, Victoria 3128","This forum outlines programs which are currently being undertaken in the Eastern Metropolitan Region with newly arrived refugee families, youth and older migrants in the prevention of family violence",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F34609460%2F180182745638%2F1%2Foriginal.jpg?h=140&w=280&rect=0%2C192%2C2480%2C1240&s=a35bc85a1d4960f33724e6154f4c387d,-37.819236,145.12656459999994
"Job club Term 3/2017 TUESDAYS, 25 July to 12 September, 9:30 AM to 12:30 PM","Tue, 25/07/2017 at 9:30 am","506 Elizabeth St, Melbourne, Victoria 3000",Job club targets new migrant and refugees seeking long term employment outcomes. The program requires the participant to have intermidiate level English skills to understand the program. This is an intensive 6-week program and you are required to attend every session.,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F32949688%2F89766701921%2F1%2Foriginal.jpg?h=140&w=280&rect=0%2C40%2C1200%2C600&s=b14052039372b802152bc9d83ba76243,-37.8069782,144.95995400000004
Alternatives to Offshore Detention with Julian Burnside,"Wed, 20/09/2017 at 7:15 pm","2 Sims Street, Sandringham, VIC 3191","Join us for an evening with Julian Burnside, Lawyer, Author and Human Rights and Refugee Advocate. Julian will be speaking to us about 'Alternatives to Offshore Detention: How should Australia treat people seeking asylum'. 
How do I get there?
5 minute walk from Sandringham Station. Free parking available on Beach Road and surrounding streets. Paid parking is available on the beach side of Beach Road, opposite Sims Street.
Who can attend?
This event is open to everyone and we encourage you to bring along friends and colleagues. However, as there are limited spaces, we ask that you register each person coming along. 
A $5 donation at the door will assist Amnesty International in their campaign for refugee rights.
Refreshments provided.
Amnesty International Australia has been campaigning tirelessly for refugee rights for many years. There are better alternatives than having people drown at sea off our coast, or suffer in open-air prisons run by our government. We need a better plan for refugees. Learn More.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F34280781%2F151328633879%2F1%2Foriginal.jpg?h=140&w=280&rect=0%2C0%2C1934%2C967&s=b4c8994abb558314e62b0c1f444e15c2,-37.95286600000001,145.004911
Wominjeka-Welcome Expo 2017,"Thu, Oct 5, 2017 at 3:00 PM","25 Ferres Boulevard, South Morang, VIC 3752","Welcome Expo 2017    
City of Whittlesea is hosting a Welcome Expo 2017. It’s a free event for the community. 
The Expo is an annual signature event of the Council that welcomes new and established residents including refugees, asylum seekers and migrants to the City of Whittlesea.   
This event will display a range of services available to you in the City of Whittlesea:
Employment
Family, children, young people and seniors
New migrants, refugees and international students
Learning and education
Health
Sustainability and waste
Safety and emergency services
Sports and leisure
Volunteering
There will be something for everyone. The event will also include a Sorry Walk. There will be free activities to keep the kids entertained like Face Painting and more.
And there will also be free photobooth and light refreshments for everyone to enjoy.
We hope to see you there! 
P.S. There is no need to print the tickets. Just register and come along!",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F34084528%2F184539575446%2F1%2Foriginal.jpg?h=140&w=280&rect=0%2C0%2C3542%2C1771&s=a7a4a7aaed7010d1792afbaad73997ab,-37.6455015,145.0681369
E18115 - Starting Your Business in Victoria workshop,"Wed, 25/10/2017 at 6:30 pm","Cnr Hyde / Napier Streets Footscray, VIC 3011 AU","Are you an asylum seeker, refugee or migrant and want to start a small business? 
This workshop will help you put in place the right foundation to build a successful business. From taking the first steps to conducting a feasibility study on your business idea, this hands-on workshop will help you gain a clear idea of how to start your business.  
All participants receive a free follow up one-on-one mentoring session with an experienced small business mentor who will tailor individual advice and information.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F30024568%2F131921313988%2F1%2Foriginal.jpg?h=140&w=280&rect=0%2C129%2C1164%2C582&s=a9856a3bbbf5195417324ab3463b91a1,-37.8043628,144.9013486
